Date,Views,Clicks,Conversions,CostPerAd,CTR,ConversionRate,CPC,Platform,CostPerConversion,Month
2022-01-29,3238,28,15,99,0.86,53.57,3.54,Facebook,6.6,January 2022
2022-02-01,1824,19,13,105,1.04,68.42,5.53,Facebook,8.08,February 2022
2022-02-06,2706,68,11,122,2.51,16.18,1.79,Facebook,11.09,February 2022
2022-02-07,2913,30,6,173,1.03,20.0,5.77,Facebook,28.83,February 2022
2022-02-07,3107,17,11,99,0.55,64.71,5.82,Facebook,9.0,February 2022
2022-02-09,2610,46,13,208,1.76,28.26,4.52,Facebook,16.0,February 2022
2022-02-09,2877,43,8,154,1.49,18.6,3.58,Facebook,19.25,February 2022
2022-02-09,2260,73,9,233,3.23,12.33,3.19,Facebook,25.89,February 2022
2022-02-12,2616,30,13,187,1.15,43.33,6.23,Facebook,14.38,February 2022
2022-02-13,2237,26,13,224,1.16,50.0,8.62,Facebook,17.23,February 2022
2022-02-13,2676,53,19,233,1.98,35.85,4.4,Facebook,12.26,February 2022
2022-02-14,1923,28,6,183,1.46,21.43,6.54,Facebook,30.5,February 2022
2022-02-15,3280,54,15,168,1.65,27.78,3.11,Facebook,11.2,February 2022
2022-02-16,1577,49,7,92,3.11,14.29,1.88,Facebook,13.14,February 2022
2022-02-17,1681,61,11,195,3.63,18.03,3.2,Facebook,17.73,February 2022
2022-02-18,1435,38,9,171,2.65,23.68,4.5,Facebook,19.0,February 2022
2022-02-18,3307,53,16,143,1.6,30.19,2.7,Facebook,8.94,February 2022
2022-02-20,1679,36,15,68,2.14,41.67,1.89,Facebook,4.53,February 2022
2022-02-22,2174,65,19,236,2.99,29.23,3.63,Facebook,12.42,February 2022
2022-02-24,2512,22,14,99,0.88,63.64,4.5,Facebook,7.07,February 2022
2022-02-24,1097,37,11,231,3.37,29.73,6.24,Facebook,21.0,February 2022
2022-02-25,1300,30,11,73,2.31,36.67,2.43,Facebook,6.64,February 2022
2022-02-25,2810,53,8,242,1.89,15.09,4.57,Facebook,30.25,February 2022
2022-03-01,2312,62,17,134,2.68,27.42,2.16,Facebook,7.88,March 2022
2022-03-01,1701,55,7,113,3.23,12.73,2.05,Facebook,16.14,March 2022
2022-03-02,2287,59,16,93,2.58,27.12,1.58,Facebook,5.81,March 2022
2022-03-02,2287,69,12,66,3.02,17.39,0.96,Facebook,5.5,March 2022
2022-03-03,3191,17,16,242,0.53,94.12,14.24,Facebook,15.12,March 2022
2022-03-04,1761,55,12,134,3.12,21.82,2.44,Facebook,11.17,March 2022
2022-03-10,3044,46,6,103,1.51,13.04,2.24,Facebook,17.17,March 2022
2022-03-10,1190,66,12,89,5.55,18.18,1.35,Facebook,7.42,March 2022
2022-03-11,2573,47,12,184,1.83,25.53,3.91,Facebook,15.33,March 2022
2022-03-12,1679,64,15,186,3.81,23.44,2.91,Facebook,12.4,March 2022
2022-03-13,1346,44,18,153,3.27,40.91,3.48,Facebook,8.5,March 2022
2022-03-13,1955,37,10,217,1.89,27.03,5.86,Facebook,21.7,March 2022
2022-03-14,2312,65,15,241,2.81,23.08,3.71,Facebook,16.07,March 2022
2022-03-17,2857,57,7,215,2.0,12.28,3.77,Facebook,30.71,March 2022
2022-03-18,1092,66,9,190,6.04,13.64,2.88,Facebook,21.11,March 2022
2022-03-18,1964,15,10,133,0.76,66.67,8.87,Facebook,13.3,March 2022
2022-03-19,2133,24,7,234,1.13,29.17,9.75,Facebook,33.43,March 2022
2022-03-21,2293,22,11,194,0.96,50.0,8.82,Facebook,17.64,March 2022
2022-03-22,3145,56,12,246,1.78,21.43,4.39,Facebook,20.5,March 2022
2022-03-22,1198,71,5,158,5.93,7.04,2.23,Facebook,31.6,March 2022
2022-03-22,1643,34,15,86,2.07,44.12,2.53,Facebook,5.73,March 2022
2022-03-26,1860,20,9,108,1.08,45.0,5.4,Facebook,12.0,March 2022
2022-03-27,1179,37,10,69,3.14,27.03,1.86,Facebook,6.9,March 2022
2022-03-27,1466,32,10,195,2.18,31.25,6.09,Facebook,19.5,March 2022
2022-03-28,2831,56,18,124,1.98,32.14,2.21,Facebook,6.89,March 2022
2022-03-29,2427,20,16,220,0.82,80.0,11.0,Facebook,13.75,March 2022
2022-03-29,2174,63,15,188,2.9,23.81,2.98,Facebook,12.53,March 2022
2022-03-29,1754,54,5,118,3.08,9.26,2.19,Facebook,23.6,March 2022
2022-03-30,2861,17,14,97,0.59,82.35,5.71,Facebook,6.93,March 2022
2022-03-30,2867,49,11,119,1.71,22.45,2.43,Facebook,10.82,March 2022
2022-04-01,1279,34,13,158,2.66,38.24,4.65,Facebook,12.15,April 2022
2022-04-01,2273,65,11,97,2.86,16.92,1.49,Facebook,8.82,April 2022
2022-04-01,2215,47,15,120,2.12,31.91,2.55,Facebook,8.0,April 2022
2022-04-03,3158,67,9,214,2.12,13.43,3.19,Facebook,23.78,April 2022
2022-04-03,1982,44,8,118,2.22,18.18,2.68,Facebook,14.75,April 2022
2022-04-03,2981,69,13,122,2.31,18.84,1.77,Facebook,9.38,April 2022
2022-04-04,3007,58,17,175,1.93,29.31,3.02,Facebook,10.29,April 2022
2022-04-04,2137,61,17,119,2.85,27.87,1.95,Facebook,7.0,April 2022
2022-04-05,3106,27,16,217,0.87,59.26,8.04,Facebook,13.56,April 2022
2022-04-08,2098,20,17,132,0.95,85.0,6.6,Facebook,7.76,April 2022
2022-04-10,2148,20,5,111,0.93,25.0,5.55,Facebook,22.2,April 2022
2022-04-10,2568,56,19,136,2.18,33.93,2.43,Facebook,7.16,April 2022
2022-04-11,1417,22,9,139,1.55,40.91,6.32,Facebook,15.44,April 2022
2022-04-12,2168,53,19,159,2.44,35.85,3.0,Facebook,8.37,April 2022
2022-04-14,2956,58,19,70,1.96,32.76,1.21,Facebook,3.68,April 2022
2022-04-14,1782,59,18,117,3.31,30.51,1.98,Facebook,6.5,April 2022
2022-04-14,1616,53,17,150,3.28,32.08,2.83,Facebook,8.82,April 2022
2022-04-16,2164,16,6,215,0.74,37.5,13.44,Facebook,35.83,April 2022
2022-04-21,1603,55,10,72,3.43,18.18,1.31,Facebook,7.2,April 2022
2022-04-21,3200,40,15,61,1.25,37.5,1.52,Facebook,4.07,April 2022
2022-04-22,2559,23,19,207,0.9,82.61,9.0,Facebook,10.89,April 2022
2022-04-27,3212,68,18,170,2.12,26.47,2.5,Facebook,9.44,April 2022
2022-04-28,1364,58,7,141,4.25,12.07,2.43,Facebook,20.14,April 2022
2022-04-29,2762,23,13,219,0.83,56.52,9.52,Facebook,16.85,April 2022
2022-04-29,2766,38,19,141,1.37,50.0,3.71,Facebook,7.42,April 2022
2022-04-30,1194,54,13,117,4.52,24.07,2.17,Facebook,9.0,April 2022
2022-05-03,2016,38,19,197,1.88,50.0,5.18,Facebook,10.37,May 2022
2022-05-06,2577,73,12,220,2.83,16.44,3.01,Facebook,18.33,May 2022
2022-05-07,2228,28,16,65,1.26,57.14,2.32,Facebook,4.06,May 2022
2022-05-07,2616,72,8,159,2.75,11.11,2.21,Facebook,19.88,May 2022
2022-05-08,3186,16,7,192,0.5,43.75,12.0,Facebook,27.43,May 2022
2022-05-09,3174,67,13,208,2.11,19.4,3.1,Facebook,16.0,May 2022
2022-05-09,2159,47,10,211,2.18,21.28,4.49,Facebook,21.1,May 2022
2022-05-09,1494,65,13,208,4.35,20.0,3.2,Facebook,16.0,May 2022
2022-05-10,1424,26,11,186,1.83,42.31,7.15,Facebook,16.91,May 2022
2022-05-11,1107,56,11,149,5.06,19.64,2.66,Facebook,13.55,May 2022
2022-05-11,1316,39,5,78,2.96,12.82,2.0,Facebook,15.6,May 2022
2022-05-12,2156,46,7,137,2.13,15.22,2.98,Facebook,19.57,May 2022
2022-05-14,3289,38,19,219,1.16,50.0,5.76,Facebook,11.53,May 2022
2022-05-15,1065,67,12,239,6.29,17.91,3.57,Facebook,19.92,May 2022
2022-05-15,1130,48,15,203,4.25,31.25,4.23,Facebook,13.53,May 2022
2022-05-16,3236,17,16,218,0.53,94.12,12.82,Facebook,13.62,May 2022
2022-05-17,3270,57,8,235,1.74,14.04,4.12,Facebook,29.38,May 2022
2022-05-17,1097,47,11,190,4.28,23.4,4.04,Facebook,17.27,May 2022
2022-05-19,3056,31,8,84,1.01,25.81,2.71,Facebook,10.5,May 2022
2022-05-19,2865,47,16,96,1.64,34.04,2.04,Facebook,6.0,May 2022
2022-05-20,1246,59,18,85,4.74,30.51,1.44,Facebook,4.72,May 2022
2022-05-20,1601,38,19,61,2.37,50.0,1.61,Facebook,3.21,May 2022
2022-05-24,2189,65,6,104,2.97,9.23,1.6,Facebook,17.33,May 2022
2022-05-26,2213,72,17,125,3.25,23.61,1.74,Facebook,7.35,May 2022
2022-05-27,1215,61,12,176,5.02,19.67,2.89,Facebook,14.67,May 2022
2022-05-29,2624,66,11,116,2.52,16.67,1.76,Facebook,10.55,May 2022
2022-05-30,2433,66,9,169,2.71,13.64,2.56,Facebook,18.78,May 2022
2022-05-30,1495,20,5,120,1.34,25.0,6.0,Facebook,24.0,May 2022
2022-05-31,2983,38,12,141,1.27,31.58,3.71,Facebook,11.75,May 2022
2022-05-31,1214,64,6,118,5.27,9.38,1.84,Facebook,19.67,May 2022
2022-06-01,1957,30,6,80,1.53,20.0,2.67,Facebook,13.33,June 2022
2022-06-02,1901,34,15,150,1.79,44.12,4.41,Facebook,10.0,June 2022
2022-06-03,2560,41,13,192,1.6,31.71,4.68,Facebook,14.77,June 2022
2022-06-03,2390,73,11,72,3.05,15.07,0.99,Facebook,6.55,June 2022
2022-06-04,1330,17,15,250,1.28,88.24,14.71,Facebook,16.67,June 2022
2022-06-05,1189,26,18,110,2.19,69.23,4.23,Facebook,6.11,June 2022
2022-06-05,1801,49,7,60,2.72,14.29,1.22,Facebook,8.57,June 2022
2022-06-07,2633,70,19,120,2.66,27.14,1.71,Facebook,6.32,June 2022
2022-06-09,1718,48,14,213,2.79,29.17,4.44,Facebook,15.21,June 2022
2022-06-11,2521,57,5,233,2.26,8.77,4.09,Facebook,46.6,June 2022
2022-06-11,3014,41,6,163,1.36,14.63,3.98,Facebook,27.17,June 2022
2022-06-12,1741,27,19,62,1.55,70.37,2.3,Facebook,3.26,June 2022
2022-06-12,2664,46,8,114,1.73,17.39,2.48,Facebook,14.25,June 2022
2022-06-14,2264,27,18,178,1.19,66.67,6.59,Facebook,9.89,June 2022
2022-06-15,2395,65,7,158,2.71,10.77,2.43,Facebook,22.57,June 2022
2022-06-15,1817,33,8,201,1.82,24.24,6.09,Facebook,25.12,June 2022
2022-06-16,1054,16,13,85,1.52,81.25,5.31,Facebook,6.54,June 2022
2022-06-17,1967,19,7,140,0.97,36.84,7.37,Facebook,20.0,June 2022
2022-06-18,3197,58,11,236,1.81,18.97,4.07,Facebook,21.45,June 2022
2022-06-18,2598,26,16,177,1.0,61.54,6.81,Facebook,11.06,June 2022
2022-06-20,2571,55,12,137,2.14,21.82,2.49,Facebook,11.42,June 2022
2022-06-21,2379,60,6,128,2.52,10.0,2.13,Facebook,21.33,June 2022
2022-06-23,1872,73,8,132,3.9,10.96,1.81,Facebook,16.5,June 2022
2022-06-23,1963,35,15,145,1.78,42.86,4.14,Facebook,9.67,June 2022
2022-06-24,1915,26,8,181,1.36,30.77,6.96,Facebook,22.62,June 2022
2022-06-24,2398,35,8,150,1.46,22.86,4.29,Facebook,18.75,June 2022
2022-06-28,3211,32,12,116,1.0,37.5,3.62,Facebook,9.67,June 2022
2022-06-28,2594,28,8,156,1.08,28.57,5.57,Facebook,19.5,June 2022
2022-06-28,1241,52,9,151,4.19,17.31,2.9,Facebook,16.78,June 2022
2022-06-30,2746,32,10,204,1.17,31.25,6.38,Facebook,20.4,June 2022
2022-07-04,2758,52,18,107,1.89,34.62,2.06,Facebook,5.94,July 2022
2022-07-04,1325,50,8,181,3.77,16.0,3.62,Facebook,22.62,July 2022
2022-07-04,2247,60,17,110,2.67,28.33,1.83,Facebook,6.47,July 2022
2022-07-05,3250,16,17,220,0.49,106.25,13.75,Facebook,12.94,July 2022
2022-07-05,1299,47,13,191,3.62,27.66,4.06,Facebook,14.69,July 2022
2022-07-05,2693,40,17,128,1.49,42.5,3.2,Facebook,7.53,July 2022
2022-07-06,2400,67,11,153,2.79,16.42,2.28,Facebook,13.91,July 2022
2022-07-09,3039,42,5,128,1.38,11.9,3.05,Facebook,25.6,July 2022
2022-07-09,2622,24,11,247,0.92,45.83,10.29,Facebook,22.45,July 2022
2022-07-09,3115,39,8,173,1.25,20.51,4.44,Facebook,21.62,July 2022
2022-07-09,1351,34,19,158,2.52,55.88,4.65,Facebook,8.32,July 2022
2022-07-11,3244,42,12,239,1.29,28.57,5.69,Facebook,19.92,July 2022
2022-07-12,1945,50,8,238,2.57,16.0,4.76,Facebook,29.75,July 2022
2022-07-14,2661,66,9,246,2.48,13.64,3.73,Facebook,27.33,July 2022
2022-07-16,1145,64,8,68,5.59,12.5,1.06,Facebook,8.5,July 2022
2022-07-16,1370,28,11,152,2.04,39.29,5.43,Facebook,13.82,July 2022
2022-07-19,2446,54,6,248,2.21,11.11,4.59,Facebook,41.33,July 2022
2022-07-20,2979,46,10,125,1.54,21.74,2.72,Facebook,12.5,July 2022
2022-07-21,2222,45,9,212,2.03,20.0,4.71,Facebook,23.56,July 2022
2022-07-21,1888,55,7,153,2.91,12.73,2.78,Facebook,21.86,July 2022
2022-07-22,1928,16,16,184,0.83,100.0,11.5,Facebook,11.5,July 2022
2022-07-22,1196,28,17,168,2.34,60.71,6.0,Facebook,9.88,July 2022
2022-07-25,1389,24,5,156,1.73,20.83,6.5,Facebook,31.2,July 2022
2022-07-25,1625,19,13,147,1.17,68.42,7.74,Facebook,11.31,July 2022
2022-07-26,1900,69,18,125,3.63,26.09,1.81,Facebook,6.94,July 2022
2022-07-26,2150,26,12,159,1.21,46.15,6.12,Facebook,13.25,July 2022
2022-07-28,1264,18,13,145,1.42,72.22,8.06,Facebook,11.15,July 2022
2022-07-30,2592,17,19,110,0.66,111.76,6.47,Facebook,5.79,July 2022
2022-07-30,2096,15,7,83,0.72,46.67,5.53,Facebook,11.86,July 2022
2022-07-30,1537,66,7,142,4.29,10.61,2.15,Facebook,20.29,July 2022
2022-08-03,1050,72,8,194,6.86,11.11,2.69,Facebook,24.25,August 2022
2022-08-04,2032,38,16,240,1.87,42.11,6.32,Facebook,15.0,August 2022
2022-08-07,1523,26,12,62,1.71,46.15,2.38,Facebook,5.17,August 2022
2022-08-09,3191,58,17,185,1.82,29.31,3.19,Facebook,10.88,August 2022
2022-08-09,2484,33,13,77,1.33,39.39,2.33,Facebook,5.92,August 2022
2022-08-12,2754,34,12,126,1.23,35.29,3.71,Facebook,10.5,August 2022
2022-08-14,1282,44,8,182,3.43,18.18,4.14,Facebook,22.75,August 2022
2022-08-16,3160,53,6,172,1.68,11.32,3.25,Facebook,28.67,August 2022
2022-08-17,1705,31,12,188,1.82,38.71,6.06,Facebook,15.67,August 2022
2022-08-18,2495,25,6,105,1.0,24.0,4.2,Facebook,17.5,August 2022
2022-08-18,1060,17,17,189,1.6,100.0,11.12,Facebook,11.12,August 2022
2022-08-19,2241,32,16,183,1.43,50.0,5.72,Facebook,11.44,August 2022
2022-08-19,1470,43,8,62,2.93,18.6,1.44,Facebook,7.75,August 2022
2022-08-20,3111,20,13,115,0.64,65.0,5.75,Facebook,8.85,August 2022
2022-08-21,2860,50,7,177,1.75,14.0,3.54,Facebook,25.29,August 2022
2022-08-23,1319,49,9,98,3.71,18.37,2.0,Facebook,10.89,August 2022
2022-08-23,1656,23,5,130,1.39,21.74,5.65,Facebook,26.0,August 2022
2022-08-24,1684,59,17,194,3.5,28.81,3.29,Facebook,11.41,August 2022
2022-08-28,3074,44,12,176,1.43,27.27,4.0,Facebook,14.67,August 2022
2022-08-30,1776,69,11,249,3.89,15.94,3.61,Facebook,22.64,August 2022
2022-09-02,1270,59,6,125,4.65,10.17,2.12,Facebook,20.83,September 2022
2022-09-04,1803,16,6,179,0.89,37.5,11.19,Facebook,29.83,September 2022
2022-09-08,1870,32,18,188,1.71,56.25,5.88,Facebook,10.44,September 2022
2022-09-08,3007,25,9,158,0.83,36.0,6.32,Facebook,17.56,September 2022
2022-09-09,1066,19,10,75,1.78,52.63,3.95,Facebook,7.5,September 2022
2022-09-10,1666,49,13,79,2.94,26.53,1.61,Facebook,6.08,September 2022
2022-09-11,1162,20,8,83,1.72,40.0,4.15,Facebook,10.38,September 2022
2022-09-12,3240,59,9,180,1.82,15.25,3.05,Facebook,20.0,September 2022
2022-09-13,1545,59,19,106,3.82,32.2,1.8,Facebook,5.58,September 2022
2022-09-13,2299,34,5,84,1.48,14.71,2.47,Facebook,16.8,September 2022
2022-09-13,2812,73,11,189,2.6,15.07,2.59,Facebook,17.18,September 2022
2022-09-14,1666,34,18,100,2.04,52.94,2.94,Facebook,5.56,September 2022
2022-09-17,2602,47,8,157,1.81,17.02,3.34,Facebook,19.62,September 2022
2022-09-17,1627,53,7,63,3.26,13.21,1.19,Facebook,9.0,September 2022
2022-09-17,2815,57,9,237,2.02,15.79,4.16,Facebook,26.33,September 2022
2022-09-19,3020,49,5,76,1.62,10.2,1.55,Facebook,15.2,September 2022
2022-09-20,1994,52,5,107,2.61,9.62,2.06,Facebook,21.4,September 2022
2022-09-20,2641,26,9,245,0.98,34.62,9.42,Facebook,27.22,September 2022
2022-09-21,1339,17,7,141,1.27,41.18,8.29,Facebook,20.14,September 2022
2022-09-21,1900,35,18,61,1.84,51.43,1.74,Facebook,3.39,September 2022
2022-09-21,2002,69,5,133,3.45,7.25,1.93,Facebook,26.6,September 2022
2022-09-24,2566,65,14,120,2.53,21.54,1.85,Facebook,8.57,September 2022
2022-09-24,1704,38,17,157,2.23,44.74,4.13,Facebook,9.24,September 2022
2022-09-27,2060,27,16,144,1.31,59.26,5.33,Facebook,9.0,September 2022
2022-09-28,3186,66,19,107,2.07,28.79,1.62,Facebook,5.63,September 2022
2022-09-28,3235,42,7,208,1.3,16.67,4.95,Facebook,29.71,September 2022
2022-09-28,2373,63,6,70,2.65,9.52,1.11,Facebook,11.67,September 2022
2022-10-01,3276,29,8,162,0.89,27.59,5.59,Facebook,20.25,October 2022
2022-10-03,1846,53,13,106,2.87,24.53,2.0,Facebook,8.15,October 2022
2022-10-05,2630,43,13,71,1.63,30.23,1.65,Facebook,5.46,October 2022
2022-10-06,2707,55,6,149,2.03,10.91,2.71,Facebook,24.83,October 2022
2022-10-07,3187,27,10,76,0.85,37.04,2.81,Facebook,7.6,October 2022
2022-10-08,3072,37,17,227,1.2,45.95,6.14,Facebook,13.35,October 2022
2022-10-08,2217,52,5,133,2.35,9.62,2.56,Facebook,26.6,October 2022
2022-10-09,2087,17,5,98,0.81,29.41,5.76,Facebook,19.6,October 2022
2022-10-09,2152,63,5,99,2.93,7.94,1.57,Facebook,19.8,October 2022
2022-10-10,2414,25,14,121,1.04,56.0,4.84,Facebook,8.64,October 2022
2022-10-11,2388,62,18,124,2.6,29.03,2.0,Facebook,6.89,October 2022
2022-10-11,3299,53,18,160,1.61,33.96,3.02,Facebook,8.89,October 2022
2022-10-12,3320,71,9,132,2.14,12.68,1.86,Facebook,14.67,October 2022
2022-10-12,1148,45,14,225,3.92,31.11,5.0,Facebook,16.07,October 2022
2022-10-13,1593,72,9,211,4.52,12.5,2.93,Facebook,23.44,October 2022
2022-10-14,1171,64,14,191,5.47,21.88,2.98,Facebook,13.64,October 2022
2022-10-14,1065,71,18,145,6.67,25.35,2.04,Facebook,8.06,October 2022
2022-10-16,2503,15,17,162,0.6,113.33,10.8,Facebook,9.53,October 2022
2022-10-19,1689,57,9,134,3.37,15.79,2.35,Facebook,14.89,October 2022
2022-10-20,2971,44,7,151,1.48,15.91,3.43,Facebook,21.57,October 2022
2022-10-22,1334,46,10,159,3.45,21.74,3.46,Facebook,15.9,October 2022
2022-10-24,3024,68,10,79,2.25,14.71,1.16,Facebook,7.9,October 2022
2022-10-26,2118,42,14,193,1.98,33.33,4.6,Facebook,13.79,October 2022
2022-10-28,1064,64,15,135,6.02,23.44,2.11,Facebook,9.0,October 2022
2022-10-28,1052,43,17,225,4.09,39.53,5.23,Facebook,13.24,October 2022
2022-10-29,2378,26,7,216,1.09,26.92,8.31,Facebook,30.86,October 2022
2022-10-31,1096,35,12,247,3.19,34.29,7.06,Facebook,20.58,October 2022
2022-11-01,2488,31,6,189,1.25,19.35,6.1,Facebook,31.5,November 2022
2022-11-04,2459,50,8,106,2.03,16.0,2.12,Facebook,13.25,November 2022
2022-11-10,1058,48,19,129,4.54,39.58,2.69,Facebook,6.79,November 2022
2022-11-10,2538,37,5,103,1.46,13.51,2.78,Facebook,20.6,November 2022
2022-11-11,2441,25,18,73,1.02,72.0,2.92,Facebook,4.06,November 2022
2022-11-12,2856,58,8,205,2.03,13.79,3.53,Facebook,25.62,November 2022
2022-11-13,2621,28,11,213,1.07,39.29,7.61,Facebook,19.36,November 2022
2022-11-14,3159,51,7,211,1.61,13.73,4.14,Facebook,30.14,November 2022
2022-11-15,2850,49,14,229,1.72,28.57,4.67,Facebook,16.36,November 2022
2022-11-15,2351,18,8,117,0.77,44.44,6.5,Facebook,14.62,November 2022
2022-11-19,3023,26,6,125,0.86,23.08,4.81,Facebook,20.83,November 2022
2022-11-23,3056,53,16,69,1.73,30.19,1.3,Facebook,4.31,November 2022
2022-11-24,1584,36,10,200,2.27,27.78,5.56,Facebook,20.0,November 2022
2022-11-26,1557,28,15,172,1.8,53.57,6.14,Facebook,11.47,November 2022
2022-11-30,1294,61,12,95,4.71,19.67,1.56,Facebook,7.92,November 2022
2022-12-01,1087,38,6,97,3.5,15.79,2.55,Facebook,16.17,December 2022
2022-12-02,2168,20,8,90,0.92,40.0,4.5,Facebook,11.25,December 2022
2022-12-03,1609,29,19,246,1.8,65.52,8.48,Facebook,12.95,December 2022
2022-12-03,1939,49,13,215,2.53,26.53,4.39,Facebook,16.54,December 2022
2022-12-04,1886,46,10,246,2.44,21.74,5.35,Facebook,24.6,December 2022
2022-12-04,2054,38,9,234,1.85,23.68,6.16,Facebook,26.0,December 2022
2022-12-05,1838,31,19,140,1.69,61.29,4.52,Facebook,7.37,December 2022
2022-12-06,2146,24,6,141,1.12,25.0,5.88,Facebook,23.5,December 2022
2022-12-07,1898,48,9,194,2.53,18.75,4.04,Facebook,21.56,December 2022
2022-12-08,1235,42,15,214,3.4,35.71,5.1,Facebook,14.27,December 2022
2022-12-11,1074,63,5,83,5.87,7.94,1.32,Facebook,16.6,December 2022
2022-12-12,3064,29,13,250,0.95,44.83,8.62,Facebook,19.23,December 2022
2022-12-12,1668,17,12,174,1.02,70.59,10.24,Facebook,14.5,December 2022
2022-12-13,2972,67,12,248,2.25,17.91,3.7,Facebook,20.67,December 2022
2022-12-14,1148,52,5,227,4.53,9.62,4.37,Facebook,45.4,December 2022
2022-12-15,2412,17,9,205,0.7,52.94,12.06,Facebook,22.78,December 2022
2022-12-15,1051,35,17,133,3.33,48.57,3.8,Facebook,7.82,December 2022
2022-12-15,2531,39,18,107,1.54,46.15,2.74,Facebook,5.94,December 2022
2022-12-17,2845,62,9,182,2.18,14.52,2.94,Facebook,20.22,December 2022
2022-12-18,2388,21,12,246,0.88,57.14,11.71,Facebook,20.5,December 2022
2022-12-18,2091,23,11,156,1.1,47.83,6.78,Facebook,14.18,December 2022
2022-12-20,1974,52,7,109,2.63,13.46,2.1,Facebook,15.57,December 2022
2022-12-25,1382,42,7,105,3.04,16.67,2.5,Facebook,15.0,December 2022
2022-12-27,2076,69,7,129,3.32,10.14,1.87,Facebook,18.43,December 2022
2022-12-28,2723,48,14,129,1.76,29.17,2.69,Facebook,9.21,December 2022
2022-12-29,1373,20,13,180,1.46,65.0,9.0,Facebook,13.85,December 2022
2022-12-29,1734,30,5,60,1.73,16.67,2.0,Facebook,12.0,December 2022
2022-12-30,3172,23,11,121,0.73,47.83,5.26,Facebook,11.0,December 2022
2022-12-31,1934,47,5,98,2.43,10.64,2.09,Facebook,19.6,December 2022
2023-01-02,1283,17,15,153,1.33,88.24,9.0,Facebook,10.2,January 2023
2023-01-03,1187,40,19,110,3.37,47.5,2.75,Facebook,5.79,January 2023
2023-01-04,2040,16,9,148,0.78,56.25,9.25,Facebook,16.44,January 2023
2023-01-05,3310,51,18,102,1.54,35.29,2.0,Facebook,5.67,January 2023
2023-01-06,3178,57,5,90,1.79,8.77,1.58,Facebook,18.0,January 2023
2023-01-08,2582,43,14,92,1.67,32.56,2.14,Facebook,6.57,January 2023
2023-01-08,1423,73,9,232,5.13,12.33,3.18,Facebook,25.78,January 2023
2023-01-08,2616,24,8,113,0.92,33.33,4.71,Facebook,14.12,January 2023
2023-01-09,1551,24,8,156,1.55,33.33,6.5,Facebook,19.5,January 2023
2023-01-11,2206,56,8,219,2.54,14.29,3.91,Facebook,27.38,January 2023
2023-01-11,3272,42,13,226,1.28,30.95,5.38,Facebook,17.38,January 2023
2023-01-13,1852,30,16,114,1.62,53.33,3.8,Facebook,7.12,January 2023
2023-01-15,1217,37,9,149,3.04,24.32,4.03,Facebook,16.56,January 2023
2023-01-15,2204,53,6,125,2.4,11.32,2.36,Facebook,20.83,January 2023
